,Angles,Phase,Correction
165,"[2, 13, 14, 0, 178, 13, 179, 178]",,Widen your legs
166,"[2, 12, 12, 0, 178, 13, 179, 178]",,Widen your legs
167,"[2, 11, 11, 0, 178, 13, 179, 178]",,Widen your legs
168,"[2, 11, 10, 0, 178, 13, 179, 178]",,Widen your legs
169,"[2, 10, 9, 0, 178, 13, 179, 178]",,Widen your legs
170,"[2, 9, 9, 0, 178, 13, 179, 178]",,Widen your legs
171,"[2, 8, 8, 0, 178, 13, 179, 178]",,Widen your legs
172,"[2, 8, 8, 0, 178, 13, 179, 178]",,Widen your legs
173,"[3, 8, 8, 0, 178, 13, 179, 178]",,Widen your legs
174,"[3, 8, 8, 0, 178, 13, 179, 178]",,Widen your legs
175,"[3, 8, 8, 0, 178, 13, 179, 178]",,Widen your legs
176,"[3, 8, 8, 0, 178, 13, 179, 178]",,Widen your legs
177,"[3, 8, 8, 0, 179, 13, 179, 178]",,Widen your legs
178,"[3, 8, 8, 0, 179, 13, 179, 178]",,Widen your legs
